,word_a,freq_a,word_b,freq_b,type,use_marker,d_type,count
163,Raymond,144349,Salomon,50328,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,1.0
164,Raymond,144349,Gul,41993,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,0.0
165,Raymond,144349,Sting,34379,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,0.0
166,Raymond,144349,Ping,23315,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,False,brands,87.0
167,Raymond,144349,Reebok,21047,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,1.0
168,Raymond,144349,Kappa,20241,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,1.0
169,Raymond,144349,Adidas,17628,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,0.0
170,Raymond,144349,Dunlop,16248,https://en.wikipedia.org/wiki/List_of_fitness_wear_brands,True,brands,0.0
171,Amazon,112967,Dell,109489,https://en.wikipedia.org/wiki/List_of_electronics_brands,False,brands,843.0
172,Amazon,112967,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,3.0
173,Amazon,112967,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,10.0
174,Amazon,112967,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,32.0
175,Dell,109489,BT,107903,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,1.0
176,Dell,109489,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,24.0
177,Dell,109489,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,652.0
178,BT,107903,Kingston,78706,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,1.0
179,BT,107903,HP,77193,https://en.wikipedia.org/wiki/List_of_electronics_brands,True,brands,8.0
180,O'Neill,102525,Keel,13461,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,0.0
181,O'Neill,102525,Roxy,10183,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,2.0
182,O'Neill,102525,Patagonia,8146,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,0.0
183,O'Neill,102525,H&M,2803,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,0.0
184,O'Neill,102525,Oxbow,2193,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,0.0
185,O'Neill,102525,Billabong,1377,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,5.0
186,O'Neill,102525,La Perla,975,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,0.0
187,O'Neill,102525,Jantzen,840,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,0.0
188,O'Neill,102525,Volcom,438,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,3.0
189,O'Neill,102525,Island Company,370,https://en.wikipedia.org/wiki/List_of_swimwear_brands,True,brands,0.0
190,Grand Slam,101875,Breakaway,79445,https://en.wikipedia.org/wiki/List_of_chocolate_bar_brands,True,brands,0.0
