index,name,source,type,cleaned_name,freq
265,MSI (Micro-Star International),https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,MSI,4300
266,Realtek,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Realtek,305
267,Silicon Power,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Silicon Power,25
268,Soyo,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Soyo,616
269,Surya,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Surya,6510
270,Transcend (Transcend Information),https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Transcend,12244
271,TSMC,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,TSMC,4077
272,VIA Technologies,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,VIA Technologies,279
273,Nokia,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Nokia,72890
274,Blaupunkt,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Blaupunkt,408
275,Bosch,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Bosch,20535
276,Braun (company),https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Braun,29438
277,Grundig,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Grundig,1473
278,Loewe AG,https://en.wikipedia.org/wiki/List_of_electronics_brands,Electronics,Loewe AG,16
