name,source,type
gprof,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Intel Advisor,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Linux Trace Toolkit (LTT),https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
LTTng (Linux Trace Toolkit Next Generation),https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
OProfile,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Oracle Solaris Studio Performance Analyzer,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
perf tools,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Performance Application Programming Interface (PAPI),https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Rational PurifyPlus,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Scalasca,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Shark by Apple,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Systemtap,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
TAU Performance System®,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Valgrind,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
VTune Amplifier XE by Intel Corporation,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
Windows Performance Analysis Toolkit by Microsoft,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
RotateRight Zoom,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
VisualSim,https://en.wikipedia.org/wiki/List_of_performance_analysis_tools,software
ARX,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
MOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
RISC iX,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
RISC OS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
AmigaOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
AmigaOS 1.0-3.9 (Motorola 68000),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
AmigaOS 4 (PowerPC),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Amiga Unix (a.k.a. Amix),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple II family,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple DOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple Pascal,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
ProDOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
GS/OS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
GNO/ME,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple III,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple SOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple Lisa,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Lisa Workshop[1],https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Lisa Operating System[2],https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple Macintosh,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Classic Mac OS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
A/UX (UNIX System V with BSD extensions),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Copland,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
MkLinux,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Pink,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Rhapsody,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
NeXTSTEP,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
macOS (formerly Mac OS X and OS X),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
macOS Server (formerly Mac OS X Server and OS X Server),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple Network Server,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
IBM AIX (Apple-customized),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple MessagePad,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Newton OS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
iOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple Watch,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
watchOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Apple TV,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
tvOS,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
Embedded operating systems,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
A/ROSE,https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
iPod software (unnamed embedded OS for iPod),https://en.wikipedia.org/wiki/List_of_operating_systems,operatingsystem
